Date,Symbol,Direction,Entry Price,Exit Price,Size,P&L,Setup,Session,Risk,Emotion,Followed Plan,Notes
2026-03-02 08:30:00,GBPUSD,Short,1.32590,1.27590,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-03-03 08:30:00,XAUUSD,Long,2422.00,2422.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-03-03 12:30:00,NAS100,Short,19569.35,19569.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-03-04 08:30:00,US30,Long,39620.00,39620.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-03-05 08:30:00,BTCUSD,Short,64250.22,64250.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-03-06 08:30:00,EURUSD,Long,1.08920,1.06420,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-03-06 12:30:00,GBPUSD,Short,1.33130,1.28130,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-03-09 08:30:00,XAUUSD,Long,2488.00,2488.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-03-09 12:30:00,NAS100,Short,19707.35,19707.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-03-10 08:30:00,US30,Long,39800.00,39800.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-03-11 08:30:00,BTCUSD,Short,64550.22,64550.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-03-12 08:30:00,EURUSD,Long,1.09340,1.06840,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-03-12 12:30:00,GBPUSD,Short,1.33670,1.28670,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-03-13 08:30:00,XAUUSD,Long,2454.00,2454.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-03-16 08:30:00,NAS100,Short,19845.35,19845.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-03-17 08:30:00,US30,Long,39980.00,39980.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-03-18 08:30:00,BTCUSD,Short,64850.22,64850.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-03-18 12:30:00,EURUSD,Long,1.09760,1.07260,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-03-19 08:30:00,GBPUSD,Short,1.34210,1.29210,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-03-20 08:30:00,XAUUSD,Long,2420.00,2420.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-03-23 08:30:00,NAS100,Short,19583.35,19583.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-03-24 08:30:00,US30,Long,39660.00,39660.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-03-24 12:30:00,BTCUSD,Short,65150.22,65150.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-03-25 08:30:00,EURUSD,Long,1.10180,1.07680,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-03-26 08:30:00,GBPUSD,Short,1.38250,1.29750,1,85,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-03-27 08:30:00,XAUUSD,Long,2486.00,2486.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-03-27 12:30:00,NAS100,Short,19721.35,19721.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-03-30 08:30:00,US30,Long,39840.00,39840.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-03-30 12:30:00,BTCUSD,Short,65450.22,65450.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-03-31 08:30:00,EURUSD,Long,1.08600,1.06100,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-04-01 08:30:00,GBPUSD,Short,1.32790,1.27790,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-04-02 08:30:00,XAUUSD,Long,2452.00,2452.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-04-02 12:30:00,NAS100,Short,19859.35,19859.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-04-03 08:30:00,US30,Long,39520.00,39520.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-04-06 08:30:00,BTCUSD,Short,65750.22,65750.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-04-07 08:30:00,EURUSD,Long,1.09020,1.06520,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-04-08 08:30:00,GBPUSD,Short,1.33330,1.28330,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-04-08 12:30:00,XAUUSD,Long,2418.00,2418.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-04-09 08:30:00,NAS100,Short,19597.35,19597.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-04-10 08:30:00,US30,Long,39700.00,39700.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-04-13 08:30:00,BTCUSD,Short,64050.22,64050.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-04-14 08:30:00,EURUSD,Long,1.09440,1.06940,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-04-14 12:30:00,GBPUSD,Short,1.33870,1.28870,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-04-15 08:30:00,XAUUSD,Long,2484.00,2484.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-04-16 08:30:00,NAS100,Short,19735.35,19735.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-04-17 08:30:00,US30,Long,39880.00,39880.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-04-17 12:30:00,BTCUSD,Short,64350.22,64350.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-04-20 08:30:00,EURUSD,Long,1.09860,1.07360,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-04-20 12:30:00,GBPUSD,Short,1.34410,1.29410,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-04-21 08:30:00,XAUUSD,Long,2450.00,2450.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-04-22 08:30:00,NAS100,Short,19873.35,19873.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-04-23 08:30:00,US30,Long,39560.00,39560.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-04-23 12:30:00,BTCUSD,Short,64650.22,64650.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-04-24 08:30:00,EURUSD,Long,1.10280,1.07780,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-04-27 08:30:00,GBPUSD,Short,1.38450,1.29950,1,85,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-04-28 08:30:00,XAUUSD,Long,2416.00,2416.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-04-29 08:30:00,NAS100,Short,19611.35,19611.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-04-29 12:30:00,US30,Long,39740.00,39740.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-04-30 08:30:00,BTCUSD,Short,64950.22,64950.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-05-01 08:30:00,EURUSD,Long,1.08700,1.06200,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-05-04 08:30:00,GBPUSD,Short,1.32990,1.27990,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-05-05 08:30:00,XAUUSD,Long,2482.00,2482.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-05-05 12:30:00,NAS100,Short,19749.35,19749.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-05-06 08:30:00,US30,Long,39920.00,39920.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-05-07 08:30:00,BTCUSD,Short,65250.22,65250.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-05-08 08:30:00,EURUSD,Long,1.09120,1.06620,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-05-08 12:30:00,GBPUSD,Short,1.33530,1.28530,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-05-11 08:30:00,XAUUSD,Long,2448.00,2448.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-05-11 12:30:00,NAS100,Short,19887.35,19887.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-05-12 08:30:00,US30,Long,39600.00,39600.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-05-13 08:30:00,BTCUSD,Short,65550.22,65550.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-05-14 08:30:00,EURUSD,Long,1.09540,1.07040,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-05-14 12:30:00,GBPUSD,Short,1.34070,1.29070,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-05-15 08:30:00,XAUUSD,Long,2414.00,2414.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-05-18 08:30:00,NAS100,Short,19625.35,19625.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-05-19 08:30:00,US30,Long,39780.00,39780.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-05-20 08:30:00,BTCUSD,Short,65850.22,65850.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-05-20 12:30:00,EURUSD,Long,1.09960,1.07460,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-05-21 08:30:00,GBPUSD,Short,1.34610,1.29610,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-05-22 08:30:00,XAUUSD,Long,2480.00,2480.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-05-25 08:30:00,NAS100,Short,19763.35,19763.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-05-26 08:30:00,US30,Long,39960.00,39960.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-05-26 12:30:00,BTCUSD,Short,64150.22,64150.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-05-27 08:30:00,EURUSD,Long,1.10380,1.07880,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-05-28 08:30:00,GBPUSD,Short,1.36150,1.27650,1,85,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-05-29 08:30:00,XAUUSD,Long,2446.00,2446.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-05-29 12:30:00,NAS100,Short,19501.35,19501.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-06-01 08:30:00,US30,Long,39640.00,39640.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-06-01 12:30:00,BTCUSD,Short,64450.22,64450.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-06-02 08:30:00,EURUSD,Long,1.08800,1.06300,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-06-03 08:30:00,GBPUSD,Short,1.33190,1.28190,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-06-04 08:30:00,XAUUSD,Long,2412.00,2412.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-06-04 12:30:00,NAS100,Short,19639.35,19639.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-06-05 08:30:00,US30,Long,39820.00,39820.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-06-08 08:30:00,BTCUSD,Short,64750.22,64750.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-06-09 08:30:00,EURUSD,Long,1.09220,1.06720,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-06-10 08:30:00,GBPUSD,Short,1.33730,1.28730,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-06-10 12:30:00,XAUUSD,Long,2478.00,2478.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-06-11 08:30:00,NAS100,Short,19777.35,19777.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-06-12 08:30:00,US30,Long,39500.00,39500.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-06-15 08:30:00,BTCUSD,Short,65050.22,65050.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-06-16 08:30:00,EURUSD,Long,1.09640,1.07140,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-06-16 12:30:00,GBPUSD,Short,1.34270,1.29270,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-06-17 08:30:00,XAUUSD,Long,2444.00,2444.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-06-18 08:30:00,NAS100,Short,19515.35,19515.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-06-19 08:30:00,US30,Long,39680.00,39680.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-06-19 12:30:00,BTCUSD,Short,65350.22,65350.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-06-22 08:30:00,EURUSD,Long,1.10060,1.07560,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-06-22 12:30:00,GBPUSD,Short,1.34810,1.29810,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-06-23 08:30:00,XAUUSD,Long,2410.00,2410.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-06-24 08:30:00,NAS100,Short,19653.35,19653.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-06-25 08:30:00,US30,Long,39860.00,39860.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-06-25 12:30:00,BTCUSD,Short,65650.22,65650.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-06-26 08:30:00,EURUSD,Long,1.10480,1.07980,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-06-29 08:30:00,GBPUSD,Short,1.36350,1.27850,1,85,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-06-30 08:30:00,XAUUSD,Long,2476.00,2476.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-07-01 08:30:00,NAS100,Short,19791.35,19791.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-07-01 12:30:00,US30,Long,39540.00,39540.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-07-02 08:30:00,BTCUSD,Short,65950.22,65950.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-07-03 08:30:00,EURUSD,Long,1.08900,1.06400,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-07-06 08:30:00,GBPUSD,Short,1.33390,1.28390,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-07-07 08:30:00,XAUUSD,Long,2442.00,2442.09,1,95,Breakout,Asia,35,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-07-07 12:30:00,NAS100,Short,19529.35,19529.70,1,-35,Order Block,London,30,Disciplined,No,"Stopped out on session retest"
2026-07-08 08:30:00,US30,Long,39720.00,39720.06,1,55,MSS + FVG,New York,25,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-07-09 08:30:00,BTCUSD,Short,64250.22,64250.00,1,110,FVG,Asia,40,Confident,Yes,"Target hit cleanly at liquidity pool"
2026-07-10 08:30:00,EURUSD,Long,1.09320,1.06820,1,-25,Breakout,London,25,Anxious,Yes,"Stopped out on session retest"
2026-07-10 12:30:00,GBPUSD,Short,1.33930,1.28930,1,50,Order Block,New York,25,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-07-13 08:30:00,XAUUSD,Long,2408.00,2408.09,1,95,MSS + FVG,Asia,35,Calm,Yes,"Target hit cleanly at liquidity pool"
2026-07-13 12:30:00,NAS100,Short,19667.35,19667.70,1,-35,FVG,London,30,Confident,Yes,"Stopped out on session retest"
2026-07-14 08:30:00,US30,Long,39900.00,39900.06,1,55,Breakout,New York,25,Anxious,Yes,"Target hit cleanly at liquidity pool"
2026-07-15 08:30:00,BTCUSD,Short,64550.22,64550.00,1,110,Order Block,Asia,40,Disciplined,No,"Target hit cleanly at liquidity pool"
2026-07-16 08:30:00,EURUSD,Long,1.09740,1.07240,1,-25,MSS + FVG,London,25,Calm,Yes,"Stopped out on session retest"
2026-07-16 12:30:00,GBPUSD,Short,1.34470,1.29470,1,50,FVG,New York,25,Confident,Yes,"Target hit cleanly at liquidity pool"
